City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tabuk,PH,2022-11-09 00:40:32,17.4189,121.4443,79.43,78,11,3.76
1,Karasuk,RU,2022-11-09 00:40:32,53.7377,78.0403,25.07,91,91,6.04
2,Bambous Virieux,MU,2022-11-09 00:40:33,-20.3428,57.7575,73.65,78,40,6.91
3,Puerto Ayora,EC,2022-11-09 00:40:06,-0.7393,-90.3518,67.55,84,79,5.99
4,Aksu,CN,2022-11-09 00:39:15,41.1231,80.2644,41.95,40,100,2.21
5,Carnarvon,AU,2022-11-09 00:40:33,-24.8667,113.6333,69.73,54,59,9.55
6,Rikitea,PF,2022-11-09 00:40:34,-23.1203,-134.9692,75.78,87,100,14.25
7,Atuona,PF,2022-11-09 00:40:34,-9.8,-139.0333,77.45,70,4,14.85
8,Harper,LR,2022-11-09 00:40:35,4.375,-7.7169,77.04,88,77,7.02
9,Punta Arenas,CL,2022-11-09 00:40:35,-53.15,-70.9167,51.91,58,75,26.46
10,Mataura,NZ,2022-11-09 00:40:35,-46.1927,168.8643,58.44,69,100,8.55
11,Port Hedland,AU,2022-11-09 00:40:36,-20.3167,118.5667,78.85,50,0,12.66
12,Faanui,PF,2022-11-09 00:40:36,-16.4833,-151.75,79.0,69,100,10.49
13,Qaanaaq,GL,2022-11-09 00:40:36,77.484,-69.3632,-10.55,69,17,7.85
14,Pedro Betancourt,CU,2022-11-09 00:40:37,22.7272,-81.29,73.94,86,59,6.08
15,Zlitan,LY,2022-11-09 00:40:37,32.4674,14.5687,65.75,69,0,6.24
16,Podujevo,XK,2022-11-09 00:40:37,42.9106,21.1931,42.4,91,5,2.15
17,Klaksvik,FO,2022-11-09 00:40:38,62.2266,-6.589,45.52,90,100,20.0
18,Bredasdorp,ZA,2022-11-09 00:40:38,-34.5322,20.0403,56.43,77,23,7.87
19,Verkhoyansk,RU,2022-11-09 00:40:38,67.5447,133.385,-14.13,98,98,3.29
20,Ushuaia,AR,2022-11-09 00:40:39,-54.8,-68.3,49.66,53,75,3.44
21,Hobart,AU,2022-11-09 00:37:05,-42.8794,147.3294,75.27,66,100,2.91
22,Matara,LK,2022-11-09 00:40:39,5.9485,80.5353,76.39,89,100,3.15
23,Busselton,AU,2022-11-09 00:40:40,-33.65,115.3333,65.93,62,27,6.69
24,Albany,US,2022-11-09 00:38:32,42.6001,-73.9662,41.36,55,0,5.39
25,Bathsheba,BB,2022-11-09 00:40:40,13.2167,-59.5167,83.01,78,40,18.41
26,Codrington,AU,2022-11-09 00:40:40,-38.2667,141.9667,77.07,60,67,14.2
27,Jamestown,US,2022-11-09 00:40:41,42.097,-79.2353,40.71,69,0,5.75
28,Sanbu,CN,2022-11-09 00:40:41,33.4594,119.1453,62.82,66,100,11.16
29,Bluff,NZ,2022-11-09 00:40:41,-46.6,168.3333,55.04,84,95,20.83
30,Qasigiannguit,GL,2022-11-09 00:40:42,68.8193,-51.1922,-11.34,82,4,6.26
31,Vaini,TO,2022-11-09 00:40:42,-21.2,-175.2,80.76,74,20,6.91
32,Antofagasta,CL,2022-11-09 00:40:42,-23.65,-70.4,61.88,78,23,2.48
33,Ayr,GB,2022-11-09 00:40:43,55.4627,-4.6339,51.78,87,75,14.97
34,Aksarka,RU,2022-11-09 00:40:43,66.5606,67.7975,18.14,96,100,5.03
35,Sitka,US,2022-11-09 00:40:43,57.0531,-135.33,37.29,48,75,0.0
36,Yellowknife,CA,2022-11-09 00:40:44,62.456,-114.3525,14.56,79,100,11.01
37,Pevek,RU,2022-11-09 00:40:44,69.7008,170.3133,-7.04,100,88,3.65
38,Pitea,SE,2022-11-09 00:40:44,65.3172,21.4794,28.49,92,96,5.68
39,Kiruna,SE,2022-11-09 00:40:45,67.8557,20.2251,23.92,100,100,6.91
40,Thompson,CA,2022-11-09 00:40:45,55.7435,-97.8558,6.96,85,100,9.22
